lat	lng	mag	time
64.3891	-147.4267	1.5	1668765945697
64.4081	-147.3912	1.4	1668765845848
58.6821	-153.7869	1.5	1668765010447
60.1816	-153.1974	2.1	1668764990540
33.9468333	-116.8276667	0.71	1668764969890
63.2515	-149.5756	1.7	1668764965528
38.2013	-117.7469	1.8	1668764123636
36.8396683	-121.6101685	1.41	1668763595910
60.1077	-152.7856	1.9	1668763496782
61.5134	-147.2433	1.1	1668762873981
60.9199	-152.1195	1.6	1668762283719
64.4014	-147.3877	1.4	1668761967307
64.4019	-147.3755	1.9	1668761383452
64.3949	-147.4136	2.7	1668761295804
33.2135	-116.7218333	0.56	1668761157430
38.8336678	-122.8164978	0.94	1668760684630
53.1513	159.7361	5	1668760407933
19.0583324432373	-155.356994628906	2.04999995	1668760384910
63.0114	-150.3065	1.5	1668760297579
19.2253341674805	-155.399002075195	2.18000007	1668759957710
61514	-150.7022	1.4	1668759885085
54.3173	-159.6457	3.5	1668759348813
19.1313323974609	-155.5	1.76999998	1668758592960
35.6986667	-117.5145	0.6	1668758459040
61.4133	-149.7034	1.3	1668757981852
63.0256	-150.9165	1.6	1668757502850
38.8393326	-122.8379974	0.86	1668757323200
17927	-66.8203333333333	2.67	1668756743230
62.8973	-151.0136	1.4	1668756396908
61.4235	-150.2021	1.2	1668755999577
37.3014	-117996	0.9	1668755967515
32.8453	-83.8607	2.3	1668754462453
61805	-148835	1.5	1668754027967
38485	-119.4936	1.4	1668753877533
-29.7594	-177.5735	5.3	1668753423667
37.6436667	-118863	0.12	1668753297600
37.6425018	-118.8611679	0.67	1668752806010
35.0591667	-117.5518333	1.69	1668752569200
36.0886667	-117.8873333	0.74	1668752487910
37.6383324	-118.8615036	0.42	1668752225580
37.6455	-118.8658333	-0.03	1668752157100
37.6415	-118.8613333	0.17	1668751867550
37.6433334	-118.8641663	0.97	1668751759110
33.9708333	-116.7976667	0.79	1668751282500
37.6433334	-118.8633347	0.8	1668751134790
61.2639	-150113	1.4	1668750945866
59866	-152.1711	1.2	1668750586401
33.9465	-116.9461667	1.03	1668749973490
33.91	-116618	0.73	1668749798420
31.66548399	-104.5398877	2.9	1668749696995
38.8300018	-122.8041687	1.2	1668748325990
38.8300018	-122.8044968	0.85	1668748305760
38.8291664	-122.8048325	0.86	1668748298420
38.8286667	-122.8041687	1.05	1668748230450
35513	-118.3961667	1.47	1668748198950
37645	-118.8608333	0.34	1668747245160
34.90135956	-96.19979858	2.17	1668746425506
33.7936667	-117661	0.93	1668746267610
59.9965	-140.2993	1.3	1668744349339
-6.5879	104.3815	4.4	1668744183904
-11.4669	166.3267	4.5	1668743997125
63.5224	-147.7528	1.2	1668743441971
64.4685	-147.2831	1.4	1668743279991
39.3161667	-123.2443333	1.21	1668742780710
33.8818333	-117.0273333	0.72	1668742668020
31.63077607	-103.9971448	2.7	1668742443001
61.6637	-151.0379	1.4	1668742031700
43.2556	-110.2586	1.6	1668742030232
64.3944	-147.3753	1.4	1668741567213
64.3842	-147.4055	1.1	1668741484961
31.66550439	-104.5371965	2.9	1668741016347
64.4587	-147.2125	1.1	1668740803077
64.4651	-147.3009	1.3	1668740356106
62.9085	-151.0826	1.8	1668739561675
-32.8528	-178.7293	4.6	1668739456456
36.5571667	-121.1251667	1.17	1668739243890
19.1200008392334	-155.406494140625	2.1400001	1668738418140
38.7738342	-122.7406693	1.15	1668738026180
39.5453	73.1433	4.4	1668737466841
55.7261	-157.4793	3.1	1668736864422
38.7728348	-122.7138367	0.73	1668736774120
33.6555	-116.6475	0.56	1668736736060
17.9566666666667	-67.01	2.32	1668736702410
61.5289	-149913	1.2	1668736645773
38.8343315	-122.807663	0.97	1668736236530
35.88046646	-97.58927155	2.83	1668736159789
40.4736667	-123.9133333	1.52	1668735967660
19.1788330078125	-155.386672973633	1.97000003	1668735776940
60.4662	-152.0926	1.2	1668735642980
61.4428	-150.1027	1.2	1668735310645
37.4668333	-118.8111667	0.92	1668734771330
59765	-153.4189	1.8	1668734433859
19.1381664276123	-155.373504638672	1.80999994	1668734113220
19.1511666666667	-155.507166666667	3.54	1668733665050
33.4831667	-116.4556667	0.69	1668732897690
64.4696	-147.2804	0.8	1668731634811
61.3151	-150.2574	1.3	1668731523447
61.4376	-150.1461	1.3	1668731462843
33.6496667	-116.6986667	0.61	1668731272920
64444	-147.2961	0.9	1668731267429
64.4645	-147.2972	2.2	1668730937514
19.4578333333333	-155.596166666667	2.36	1668730751570
61.4268	-150.2014	1.4	1668730546960
33.0575	-116.4808333	0.79	1668730397310
61.3441	-150.2048	2.2	1668730136163
61.3718	-150.1529	4.9	1668729789624
37282	-121.6548333	0.82	1668729634960
19.1433334350586	-155.488830566406	2	1668729164760
38.8318329	-122.8148346	0.73	1668728781330
38.8318329	-122.8154984	0.66	1668728759700
38.1193352	-122.1608353	2.19	1668728667220
38.7868347	-122.7198334	0.46	1668728621590
60.5773	-151.4032	1.2	1668728131147
61.7907	-149.9566	1.4	1668727872340
60.2938	-152325	1.2	1668727757856
64.4623	-147.2289	1.2	1668725769046
64.4545	-147.1702	1.6	1668725300382
64.4635	-147.2303	1.4	1668725000618
64.4511	-147.3019	0.8	1668724940651
64.4681	-147278	2	1668724848522
64.4847	-147.2961	4.1	1668724481144
58.2179	-151.3636	2.2	1668723830409
19.4741666666667	-155.600333333333	2.6	1668723804110
51865	-177.870833333333	0.39	1668723775300
33.1831667	-116.0285	1.07	1668723425690
61.7597	-150.7634	1.4	1668723330543
32.9173333	-116.2431667	1.39	1668723128210
39.2577	-118.1571	0	1668722702762
2.8003	128.6681	4.2	1668722484542
63.5439	-147.5614	1.3	1668722434449
60.6026	-147619	1.3	1668722034183
51.8616666666667	-177.887333333333	0.95	1668721805310
61.7852	-151.0212	3.7	1668721546901
61.9504	-150.8416	1.1	1668720793930
51.8596666666667	-177.996166666667	1.01	1668720700460
36.6211662	-121.1650009	1.46	1668720542890
19.4330005645752	-155.618835449219	1.90999997	1668720451000
34.95333333	-97.61666667	2.42	1668719959780
64.6979	-149.1248	1.1	1668719283927
32.8303333	-117061	0.86	1668719095160
36.0465	-117.7225	0.98	1668719004160
58238	-155.151666666667	-0.33	1668718694670
64.3908	-147.4146	2.6	1668718680858
61.2083333333333	-152.304333333333	0.23	1668718136370
33894	-116.8035	1.23	1668716300410
57.1359	-156.8696	2.4	1668716294147
33.3186667	-116.7656667	1.08	1668716233530
37.2721672	-121.6451645	1.44	1668715702300
58.2373333333333	-155.160833333333	-0.3	1668714412410
58.2255	-155.112166666667	0.17	1668714080440
33.5086667	-116482	0.46	1668713768770
38.7890015	-122.7259979	0.73	1668713544140
38.8201675	-122.7636642	0.45	1668713443390
34505	-118.9671667	1.74	1668713257330
19.2215003967285	-155.379669189453	2.23	1668712815520
37.7168	-115.9979	1	1668712375104
35.0595	-118.3388333	1.13	1668711676160
33.6246667	-116.6758333	1.27	1668711397980
33295	-116.7405	0.8	1668711037130
51861	-177.994166666667	0.69	1668710739040
39.1158	-119.7273	0.3	1668710627911
33.6745	-118.0446667	1.18	1668710140770
36.3398333	-120.8815	1.14	1668709682800
41.5111667	-112.1721667	1.41	1668709599830
18.9511666666667	-64.9111666666667	2.99	1668707670920
-18.4422	-69.9066	4.1	1668707460801
19.1553	-67442	3.79	1668707370200
39.3273333	-123.1688333	1.23	1668707100740
13.5182	-91.7959	4.6	1668706988211
37.4501667	-119.2708333	1.15	1668706593720
38199	141.7843	4.6	1668706520431
63.4883	-147.0096	1.4	1668705918949
19.4213333333333	-155617	3.01	1668705727690
33.3043333	-116.3381667	0.74	1668705362720
40.1603	-119.1446	1.6	1668705055860
19.4340000152588	-155.6181640625	1.79999995	1668705034890
61.3193	-147.2762	1.9	1668704763144
43.7213333333333	-121238	0.44	1668704541930
63.2652	-149.4094	1.1	1668704341642
44.7878333	-110.8328333	0.47	1668703914580
19.2043342590332	-155.479995727539	1.89	1668703604250
53.9826666666667	-166.483666666667	0.6	1668703377960
33.5086667	-116.5148333	-0.02	1668703297740
34.1565	-116991	1.8	1668703094440
38.1683	-117.8223	1.1	1668702922641
60.6742	-147.3067	1.6	1668702649156
33.1415	-115.9593333	1.09	1668702552010
53.3973333333333	-168.187666666667	0.28	1668702421540
58.2363333333333	-155.158333333333	0.55	1668702254160
58.2346666666667	-155.162333333333	-0.34	1668702161220
63.4535	-151.9931	1.8	1668701952803
34.6846667	-116.3493333	2.15	1668701884900
63.5084	-152.4901	1.9	1668701273050
63.4979	-152.0785	1.7	1668701184878
37.4583333	-118.8173333	0.56	1668701099680
17.9586666666667	-66.9561666666667	2.41	1668700990600
61.4108333333333	-152296	-0.49	1668700979260
58.2383333333333	-155156	0.12	1668700827460
39.4628333	-108.8146667	2.48	1668700770850
38.8336678	-122.8048325	0.71	1668700708240
-5.1006	134051	4.9	1668699679798
37.4298333	-118.5596667	1.46	1668699634700
58.1755	-155.329333333333	0.08	1668699105260
37.4328333	-118.5635	1.47	1668699027540
19.5001666666667	-155.671666666667	2.08	1668698363380
38.8398323	-122.8368301	0.37	1668698233320
35.5066667	-118391	1.46	1668697357770
51.8623333333333	-177.980166666667	1.2	1668696517120
30.71228027	-104.673447	2.5	1668696192764
60.5411	-147.8784	1.6	1668696010177
19.466833114624	-155.598007202148	1.82	1668695609100
60006	-139516	1.6	1668695558458
17.9968333333333	-67001	1.8	1668694567810
19.2296657562256	-155.445159912109	1.74000001	1668694108350
38.1889	-117.8697	0.7	1668693970985
33671	-116.7638333	0.78	1668693920060
59921	-153.1838	1.9	1668693822776
33217	-116.7481667	0.69	1668693800770
26.9701	55.2311	5.2	1668693572395
17.9603333333333	-66.9651666666667	2.1	1668693180680
58.2515	-155.085666666667	-0.45	1668693044920
40.1016667	-123.7388333	1.75	1668692806480
17.9695	-66.8345	1.74	1668692329780
19.1264991760254	-155.430328369141	1.84000003	1668692271420
63.0073	-150.8209	1.5	1668692062771
38.8106651	-122.841835	0.86	1668691890760
62.0204	-152027	1.6	1668691602223
44.2235	-116.2207	3.4	1668691401942
38.7714996	-122.7125015	0.53	1668691192590
61.4627	-150.6989	1.4	1668690770946
61.6945	-151612	1.7	1668690366816
35.6108	140.1694	4.5	1668689009639
39.9943	-119.4331	1.2	1668689008210
33.2645	-116.4306667	0.8	1668688999400
45.3265	-121694	0.09	1668688880770
-19.4153	-176.8419	4.7	1668688595546
60.4445	-152.7335	-1.15	1668688537240
60.4213333333333	-152.785166666667	-0.54	1668688505050
31.61738727	-103.980808	2.5	1668688315560
31.64115072	-104.0204674	2.1	1668688216604
45.2815	-121.7205	1.05	1668688108740
36.1678333	-118028	0.8	1668688064660
19.1639995574951	-155.48583984375	2.58999991	1668687972060
36.1708333	-118032	1.49	1668687927910
46.1928333333333	-122.180333333333	-0.1	1668687743340
38.1702	-117.8237	1.3	1668687380311
38.7879982	-122.767334	1.32	1668686350890
40.4083333	-121.9845	1.83	1668685890770
31.63026093	-103.9792518	2.1	1668685848812
19037	-67.2915	5	1668685706500
31.63322976	-103.984915	2.3	1668685453898
45.3665	-121.690333333333	0.32	1668685436480
17.9695	-66.8401666666667	2.47	1668685256500
44.8015	-110.8148333	0.11	1668685109200
38.8213348	-122.8525009	0.37	1668684721770
31.6196887	-103.9797423	2.5	1668684582805
-22.3374	170.2046	5.4	1668684094527
-24.4144	-176.6206	4.8	1668683872263
51866	-177911	1.1	1668683313450
45.3703333333333	-121.694666666667	0.17	1668682979210
33.5805	-116.8058333	1.32	1668681718530
44.7896667	-110.7978333	0.6	1668681707850
19.3766670227051	-154.92399597168	1.72	1668681679350
60.4179	-147.4199	1.8	1668681603983
33.7211667	-116801	0.62	1668680710650
33216	-116.7425	0.7	1668680606500
38.8230019	-122.7986679	0.35	1668680428540